Sr,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Approx Assets,Liabilities,Approx Liabilities
278,Dr. Sudipto Roy,SREERAMPUR,AITC,0,Post Graduate,Rs 94686431,~ 9 Crore+,Rs 1246667,~ 12 Lacs+
280,Bikash Roychoudhury,SURI,AITC,0,Graduate,Rs 41710699,~ 4 Crore+,Rs 541286,~ 5 Lacs+
282,Bina Mondal,SWARUPNAGAR (SC),AITC,0,Graduate,Rs 20111577,~ 2 Crore+,Rs 0,~
283,Arup Chakraborty,TALDANGRA,AITC,0,Graduate Professional,Rs 88251416,~ 8 Crore+,Rs 39858383,~ 3 Crore+
285,Budhrai Tudu,TAPAN (ST),BJP,0,Graduate Professional,Rs 5747782,~ 57 Lacs+,Rs 2787517,~ 27 Lacs+
288,Aroop Biswas,TOLLYGANJ,AITC,0,Graduate,Rs 11588610,~ 1 Crore+,Rs 0,~
290,Samir Kumar Panja,UDAYNARAYANPUR,AITC,0,Graduate Professional,Rs 25762514,~ 2 Crore+,Rs 0,~
291,Pulak Roy,ULUBERIA DAKSHIN,AITC,0,Graduate,Rs 29705081,~ 2 Crore+,Rs 4390702,~ 43 Lacs+
292,Bidesh Ranjan Bose,ULUBERIA PURBA,AITC,0,Graduate,Rs 14032345,~ 1 Crore+,Rs 614693,~ 6 Lacs+
294,Kanchan Mullick,UTTARPARA,AITC,0,Graduate,Rs 10219205,~ 1 Crore+,Rs 186956,~ 1 Lacs+
1,Mamata Banerjee,BHABANIPUR : BYE ELECTION ON 30-09-2021,AITC,0,Post Graduate,Rs 1538029,~ 15 Lacs+,Rs 0,~
279,Md Abdul Ghani,SUJAPUR,AITC,0,Post Graduate,Rs 41334000,~ 4 Crore+,Rs 0,~
258,Subrata Saha,SAGARDIGHI,AITC,0,Graduate Professional,Rs 80260320,~ 8 Crore+,Rs 2150089,~ 21 Lacs+
257,Bankim Chandra Hazra,SAGAR,AITC,0,Post Graduate,Rs 9090193,~ 90 Lacs+,Rs 0,~
256,Manas Ranjan Bhunia,SABANG,AITC,0,Graduate Professional,Rs 73494125,~ 7 Crore+,Rs 2600000,~ 26 Lacs+
214,Atta Surja Kanta,NARAYANGARH,AITC,0,Post Graduate,Rs 12280040,~ 1 Crore+,Rs 4000000,~ 40 Lacs+
215,Mihir Goswami,NATABARI,BJP,0,Graduate Professional,Rs 14005424,~ 1 Crore+,Rs 0,~
216,Dulal Murmu,NAYAGRAM (ST),AITC,0,Post Graduate,Rs 12035096,~ 1 Crore+,Rs 0,~
217,Manju Basu,NOAPARA,AITC,0,Graduate Professional,Rs 9823417,~ 98 Lacs+,Rs 0,~
218,Sahina Momtaz Khan,NOWDA,AITC,0,10th Pass,Rs 38048254,~ 3 Crore+,Rs 4087115,~ 40 Lacs+
220,Dr. Manik Bhattacharya,PALASHIPARA,AITC,0,Doctorate,Rs 29870186,~ 2 Crore+,Rs 0,~
221,Gulsan Mullick,PANCHLA,AITC,0,12th Pass,Rs 16605069,~ 1 Crore+,Rs 932835,~ 9 Lacs+
