Sr,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Approx Assets,Liabilites,Approx Liabilities
239,Krishna Kalyani,RAIGANJ,BJP,0,6,58429269,~ 5 Crore+,8857800,~ 88 Lacs+
240,Shampa Dhara,RAINA (SC),AITC,0,6,345778,~ 3 Lacs+,0,~
241,Mrityunjoy Murmu,RAIPUR (ST),AITC,0,3,1018005,~ 10 Lacs+,0,~
242,Aditi Munshi,RAJARHAT GOPALPUR,AITC,0,8,9924104,~ 99 Lacs+,1242028,~ 12 Lacs+
243,Tapash Chatterjee,RAJARHAT NEW TOWN,AITC,2,6,37520118,~ 3 Crore+,0,~
244,Khageswar Roy,RAJGANJ (SC),AITC,1,4,6363026,~ 63 Lacs+,820178,~ 8 Lacs+
245,Akhil Giri,RAMNAGAR,AITC,1,4,7091258,~ 70 Lacs+,0,~
246,Asish Banerjee,RAMPURHAT,AITC,0,10,18027294,~ 1 Crore+,0,~
247,Mukut Mani Adhikari,RANAGHAT DAKSHIN (SC),BJP,0,7,5318365,~ 53 Lacs+,1240000,~ 12 Lacs+
248,Parthasarathi Chatterjee,RANAGHAT UTTAR PASCHIM,BJP,0,7,4996464,~ 49 Lacs+,2393627,~ 23 Lacs+
249,Ashim Biswas,RANAGHAT UTTAR PURBA (SC),BJP,4,6,2486573,~ 24 Lacs+,56898,~ 56 Thou+
250,Jyotsna Mandi,RANIBANDH (ST),AITC,0,Othe,4101144,~ 41 Lacs+,234000,~ 2 Lacs+
251,Tapas Banerjee,RANIGANJ,AITC,7,7,8107729,~ 81 Lacs+,0,~
252,Abdul Soumik Hossain,RANINAGAR,AITC,2,4,100070941,~ 10 Crore+,18869480,~ 1 Crore+
253,Debasish Kumar,RASHBEHARI,AITC,0,4,58979827,~ 5 Crore+,9968000,~ 99 Lacs+
254,Samar Mukherjee,RATUA,AITC,0,4,6521823,~ 65 Lacs+,1191000,~ 11 Lacs+
255,Rabiul Alam Chowdhury,REJINAGAR,AITC,1,6,14337361,~ 1 Crore+,0,~
256,Manas Ranjan Bhunia,SABANG,AITC,0,7,73494125,~ 7 Crore+,2600000,~ 26 Lacs+
257,Bankim Chandra Hazra,SAGAR,AITC,0,8,9090193,~ 90 Lacs+,0,~
258,Subrata Saha,SAGARDIGHI,AITC,0,7,80260320,~ 8 Crore+,2150089,~ 21 Lacs+
259,Nilabati Saha,SAINTHIA (SC),AITC,0,6,12820081,~ 1 Crore+,449237,~ 4 Lacs+
260,Srikanta Mahata,SALBONI,AITC,3,6,8214301,~ 82 Lacs+,2763867,~ 27 Lacs+
