Sr,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Approx Assets,Liabilities,Approx Liabilities
8,PRATIVARANJAN MUKHERJEE,Asansol,CPM,0,8,Rs 12037503,~ 1 Crore+,Rs 186339,~ 1 Lacs+
9,SATYASEBI KAR,Ashokenagar,CPM,0,7,Rs 425105,~ 4 Lacs+,Rs 0,~
10,TOUAB ALI,Aurangabad,CPM,0,4,Rs 1959761,~ 19 Lacs+,Rs 0,~
11,KARTICK CHANDRA BAG,Ausgram,CPM,0,2,Rs 594906,~ 5 Lacs+,Rs 0,~
12,MD. SHELIM GAIN,Baduria,CPM,0,7,Rs 926168,~ 9 Lacs+,Rs 225931,~ 2 Lacs+
13,DULAL BAR,Bagdaha,AITC,0,6,Rs 820005,~ 8 Lacs+,Rs 0,~
14,AKKEL ALI KHAN,Bagnan,CPM,0,6,Rs 2790615,~ 27 Lacs+,Rs 316750,~ 3 Lacs+
15,DIBAKANTA ROUTH,Balagarh,CPM,0,4,Rs 1118480,~ 11 Lacs+,Rs 8000,~ 8 Thou+
16,KANIKA GANGULY,Bally,CPM,0,8,Rs 3069750,~ 30 Lacs+,Rs 0,~
18,BHANDU MAJHI,Balrampur,CPM,0,4,Rs 640905,~ 6 Lacs+,Rs 0,~
19,BISWANATH CHOUDHURY,Balurghat,RSP,0,6,Rs 1417328,~ 14 Lacs+,Rs 0,~
20,UPENDRA NATH HANSDA,Banduan,CPM,0,2,Rs 265513,~ 2 Lacs+,Rs 0,~
21,PARTHA DE,Bankura,CPM,0,7,Rs 854841,~ 8 Lacs+,Rs 0,~
22,ASHUTOSH MUKHOPADHYAY,Bansberia,CPM,0,8,Rs 1732500,~ 17 Lacs+,Rs 0,~
23,MD. SOHRAB,Bara Bazar,RJD,0,2,Rs 8574818,~ 85 Lacs+,Rs 135588,~ 1 Lacs+
24,DILIP SARKAR,Barabani,CPM,0,4,Rs 1730757,~ 17 Lacs+,Rs 0,~
25,AMAR CHOWDHURY,Baranagar,RSP,0,6,Rs 1353171,~ 13 Lacs+,Rs 0,~
26,DR. BITHIKA MONDAL,Barasat,AIFB,0,10,Rs 425000,~ 4 Lacs+,Rs 375000,~ 3 Lacs+
27,SUSMITA BISWAS,Barjora,CPM,0,6,Rs 276500,~ 2 Lacs+,Rs 0,~
29,BISWA NATH BANERJEE,Barwan,RSP,0,6,Rs 1205268,~ 12 Lacs+,Rs 97697,~ 97 Thou+
30,SUBHAS NASKAR,Basanti,RSP,0,1,Rs 3337276,~ 33 Lacs+,Rs 0,~
31,NARAYAN MUKHERJEE,Basirhat,CPM,0,8,Rs 1121724,~ 11 Lacs+,Rs 0,~
32,KUMKUM CHAKRABORTI,Behala East,CPM,0,8,Rs 2026591,~ 20 Lacs+,Rs 471000,~ 4 Lacs+
34,REFATULLAH MD.,Beldanga,RSP,0,8,Rs 3040625,~ 30 Lacs+,Rs 0,~
75,SUNIL ADHIKARI,Daspur,CPM,0,8,Rs 1696265,~ 16 Lacs+,Rs 492341,~ 4 Lacs+
65,NARENDRA NATH DEY,Chinsurah,AIFB,0,6,Rs 4019889,~ 40 Lacs+,Rs 0,~
121,LAGAN DEO SINGH,Howrah North,CPM,0,6,Rs 2009544,~ 20 Lacs+,Rs 0,~
95,JYOTI PRIYA  MALLICK,Gaighata,AITC,0,7,Rs 503841,~ 5 Lacs+,Rs 0,~
111,NAYAN SARKAR,Hanskhali,CPM,0,4,Rs 838822,~ 8 Lacs+,Rs 0,~
96,SADHU TUDU,Gajol,CPM,0,7,Rs 659278,~ 6 Lacs+,Rs 219084,~ 2 Lacs+
120,ARUP RAY (TUKUN),Howrah Central,CPM,0,6,Rs 1819761,~ 18 Lacs+,Rs 0,~
97,MEHBUB MONDAL,Galsi,AIFB,0,7,Rs 2709100,~ 27 Lacs+,Rs 0,~
98,ANGAD BAURI,Gangajalghati,CPM,0,3,Rs 57411,~ 57 Thou+,Rs 35000,~ 35 Thou+
119,AMITAVA MUKHOPADHYAY,Hirapur,CPM,0,8,Rs 3751795,~ 37 Lacs+,Rs 52286,~ 52 Thou+
118,GOPAL GAYEN,Hingalganj,CPM,0,6,Rs 230000,~ 2 Lacs+,Rs 0,~
117,GOUTAM DEB,Hasnabad,CPM,0,8,Rs 1467777,~ 14 Lacs+,Rs 0,~
122,KRISHNA KISOR RAY (K.K.RAY),Howrah South,CPM,0,6,Rs 793183,~ 7 Lacs+,Rs 0,~
116,ASIM KUMAR DAS,Haroa,CPM,0,6,Rs 4126231,~ 41 Lacs+,Rs 3740,~ 3 Thou+
103,DEEPA DASMUNSI,Goalpokhar,INC,0,8,Rs 13321540,~ 1 Crore+,Rs 0,~
105,NIRANJAN PANDIT,Goghat,AIFB,0,6,Rs 183351,~ 1 Lacs+,Rs 31000,~ 31 Thou+
77,DR. MORTOZA HOSSAIN,Deganga,AIFB,0,10,Rs 2773000,~ 27 Lacs+,Rs 900000,~ 9 Lacs+
106,RABI LAL MAITRA,Gopiballavpur,CPM,0,7,Rs 65633793,~ 6 Crore+,Rs 0,~
114,BHARATI MUKHERJEE,Haripal,CPM,0,7,Rs 925315,~ 9 Lacs+,Rs 0,~
113,BANKIM CHANDRA GHOSH,Haringhata,CPM,0,4,Rs 1372777,~ 13 Lacs+,Rs 82030,~ 82 Thou+
112,INSAR ALI BISWAS,Hariharpara,CPM,0,8,Rs 1069300,~ 10 Lacs+,Rs 100000,~ 1 Lacs+
108,KHAGEN MURMU,Habibpur,CPM,0,6,Rs 757001,~ 7 Lacs+,Rs 0,~
109,PRANAB KUMAR BHATTACHARYYA,Habra,CPM,0,8,Rs 667954,~ 6 Lacs+,Rs 0,~
102,KRISHNA PRASAD DULEY,Garhbeta West,CPM,0,3,Rs 287515,~ 2 Lacs+,Rs 0,~
93,CHANDANA GHOSHDOSTIDAR,Falta,CPM,0,8,Rs 151818,~ 1 Lacs+,Rs 0,~
110,ASIT KUMAR MAL,Hansan,INC,0,4,Rs 8450,~ 8 Thou+,Rs 0,~
123,SUBHAS CHANDRA MAHATA,Hura,CPM,0,8,Rs 718023,~ 7 Lacs+,Rs 0,~
127,SRIKUMAR MUKHERJEE,Itahar,CPI,0,10,Rs 2312837,~ 23 Lacs+,Rs 450957,~ 4 Lacs+
130,HARIPADA BISWAS,Jagatdal,AIFB,0,3,Rs 2320664,~ 23 Lacs+,Rs 16691,~ 16 Thou+
80,RISHI HALDER,Diamond Harbour,CPM,0,7,Rs 5913792,~ 59 Lacs+,Rs 0,~
82,MOHANTA CHATTERJEE,Domjur,CPM,0,7,Rs 385419,~ 3 Lacs+,Rs 0,~
