153,Rabindranath Chatterjee,KATWA,INC,0,Graduate,Rs 7119338,~ 71 Lacs+,Rs 535291,~ 5 Lacs+
154,Biram Mandi,KESHIARY (ST),CPM,0,TenthPass,Rs 186014,~ 1 Lacs+,Rs 0,~
155,Rameswar Doloi,KESHPUR (SC),CPM,1,TwelfthPass,Rs 1041960,~ 10 Lacs+,Rs 0,~
156,Sekh Sahonawez,KETUGRAM,AITC,13,TwelfthPass,Rs 998675,~ 9 Lacs+,Rs 0,~
157,Iqbal Ahmed,KHANAKUL,AITC,2,TenthPass,Rs 70961613,~ 7 Crore+,Rs 4165330,~ 41 Lacs+
158,Nabin Chandra Bag,KHANDAGHOSH (SC),CPM,0,Graduate,Rs 54015,~ 54 Thou+,Rs 0,~
159,Nazmul Haque,KHARAGPUR,CPM,0,Graduate,Rs 1284128,~ 12 Lacs+,Rs 0,~
160,Gyan Singh Sohanpa,KHARAGPUR SADAR,INC,0,TenthPass,Rs 738859,~ 7 Lacs+,Rs 0,~
161,Amit Kumar Mitra,KHARDAHA,AITC,0,Doctorate,Rs 70876316,~ 7 Crore+,Rs 0,~
162,Ashis Marjit,KHARGRAM (SC),INC,0,TwelfthPass,Rs 310095,~ 3 Lacs+,Rs 0,~
163,Ranajit Mondal,KHEJURI (SC),AITC,0,Graduate,Rs 407313,~ 4 Lacs+,Rs 0,~
164,Firhad Hakim,KOKATA PORT,AITC,1,Graduate,Rs 37780088,~ 3 Crore+,Rs 5399000,~ 53 Lacs+
165,Sushil Biswas,KRISHNAGANJ (SC),AITC,9,TwelfthPass,Rs 1745000,~ 17 Lacs+,Rs 20000,~ 20 Thou+
166,Ujjwal Biswas,KRISHNANAGAR DAKSHIN,AITC,0,Graduate,Rs 6583343,~ 65 Lacs+,Rs 705606,~ 7 Lacs+
167,Abani Mohan Joardar,KRISHNANAGAR UTTAR,AITC,0,Graduate,Rs 5560367,~ 55 Lacs+,Rs 0,~
168,Jogoranjan Halder,KULPI,AITC,0,GraduateProfessional,Rs 925481,~ 9 Lacs+,Rs 0,~
169,Ramsankar Halder,KULTALI (SC),CPM,0,TenthPass,Rs 446034,~ 4 Lacs+,Rs 0,~
170,Ujjal Chatterjee,KULTI,AITC,0,Graduate,Rs 748000,~ 7 Lacs+,Rs 0,~
171,Dasrath Tirkey,KUMARGRAM (ST),RSP,0,Graduate,Rs 1066293,~ 10 Lacs+,Rs 0,~
172,Rohit Sharma,KURSEONG,GJM,0,Doctorate,Rs 3820025,~ 38 Lacs+,Rs 426787,~ 4 Lacs+
173,Narmada Chandra Roy,KUSHMUNDI (SC),RSP,0,Graduate,Rs 4142515,~ 41 Lacs+,Rs 134773,~ 1 Lacs+
174,Monirul Islam,LABPUR,AITC,8,TwelfthPass,Rs 1992652,~ 19 Lacs+,Rs 0,~
175,Abu Hena,LALGOLA,INC,0,PostGraduate,Rs 6058633,~ 60 Lacs+,Rs 0,~
176,Kumari Kujur,MADARIHAT (ST),RSP,0,TenthPass,Rs 737223,~ 7 Lacs+,Rs 143000,~ 1 Lacs+
177,Sri Rathin Ghosh,MADHYAMGRAM,AITC,1,Graduate,Rs 370468,~ 3 Lacs+,Rs 0,~
178,Giasuddin Molla,MAGRAHAT PASCHIM,AITC,3,TwelfthPass,Rs 3163805,~ 31 Lacs+,Rs 40000,~ 40 Thou+
179,Namita Saha,MAGRAHAT PURBA (SC),AITC,0,GraduateProfessional,Rs 206589,~ 2 Lacs+,Rs 0,~
180,Kasturi Das,MAHESHTALA,AITC,0,EighthPass,Rs 71855504,~ 7 Crore+,Rs 5031231,~ 50 Lacs+
181,Dr. Sudarsan Ghosh Dastidar,MAHISADAL,AITC,0,PostGraduate,Rs 14710503,~ 1 Crore+,Rs 247575,~ 2 Lacs+
182,Abdur Rahim Boxi,MALATIPUR,RSP,2,TwelfthPass,Rs 10117752,~ 1 Crore+,Rs 837942,~ 8 Lacs+
183,Bhupendra Nath Halder(arjun),MALDAHA (SC),INC,2,Graduate,Rs 605534,~ 6 Lacs+,Rs 0,~
184,Sandhyarani Tudu,MANBAZAR (ST),AITC,0,TenthPass,Rs 3272588,~ 32 Lacs+,Rs 864538,~ 8 Lacs+
185,Jaydeb Haldar,MANDIRBAZAR (SC),AITC,2,EighthPass,Rs 689113,~ 6 Lacs+,Rs 0,~
186,Sahajahan Choudhury,MANGALKOT,CPM,0,PostGraduate,Rs 667044,~ 6 Lacs+,Rs 0,~
187,Sabitri Mitra,MANICKCHAK,AITC,0,TenthPass,Rs 1220213,~ 12 Lacs+,Rs 6391,~ 6 Thou+
188,Sadhan Pande,MANIKTALA,AITC,0,GraduateProfessional,Rs 23398856,~ 2 Crore+,Rs 0,~
189,Sankar Malakar,MATIGARA-NAXALBARI (SC),INC,0,EighthPass,Rs 18677327,~ 1 Crore+,Rs 0,~
190,Ananta Deb Adhikari,MAYNAGURI (SC),RSP,0,Graduate,Rs 3952381,~ 39 Lacs+,Rs 50000,~ 50 Thou+
191,Asok Kumar Ray,MAYURESWAR,CPM,0,GraduateProfessional,Rs 996565,~ 9 Lacs+,Rs 0,~
192,Mrigendra Nath Maiti,MEDINIPUR,AITC,0,PostGraduate,Rs 5992495,~ 59 Lacs+,Rs 0,~
193,Paresh Ch. Adhikary,MEKLIGANJ (SC),AIFB,0,TwelfthPass,Rs 7846736,~ 78 Lacs+,Rs 0,~
194,Abul Hasem Mondal,MEMARI,AITC,0,Doctorate,Rs 5975219,~ 59 Lacs+,Rs 0,~
195,Mamtaj Begam,METIABRUZ,AITC,3,EighthPass,Rs 357733,~ 3 Lacs+,Rs 0,~
196,Usha Rani Mondal,MINAKHAN (SC),AITC,0,EighthPass,Rs 1885448,~ 18 Lacs+,Rs 0,~
197,Chowdhury Md Hedayatullah,MONTESWAR,CPM,0,Graduate,Rs 4498455,~ 44 Lacs+,Rs 800000,~ 8 Lacs+
198,Sabina Yeasmin,MOTHABARI,INC,0,PostGraduate,Rs 3041687,~ 30 Lacs+,Rs 0,~
199,Bhushan Chandra Dolai,MOYNA,AITC,0,PostGraduate,Rs 1777153,~ 17 Lacs+,Rs 0,~
200,Nure Alam Chowdhury,MURARAI,AITC,0,Graduate,Rs 92350000,~ 9 Crore+,Rs 0,~
201,Shaoni Singha Roy,MURSHIDABAD,INC,1,Graduate,Rs 781770,~ 7 Lacs+,Rs 0,~
202,Pundarikakshya Saha,NABADWIP,AITC,0,Graduate,Rs 56905,~ 56 Thou+,Rs 0,~
203,Kanai Chandra Mondal,NABAGRAM (SC),CPM,3,Graduate,Rs 1099869,~ 10 Lacs+,Rs 0,~
204,Joseph Munda,NAGRAKATA (ST),INC,0,TenthPass,Rs 666758,~ 6 Lacs+,Rs 116824,~ 1 Lacs+
205,Partha Bhowmick,NAIHATI,AITC,3,PostGraduate,Rs 6400723,~ 64 Lacs+,Rs 164534,~ 1 Lacs+
206,Kallol Khan,NAKASHIPARA,AITC,1,TwelfthPass,Rs 400800,~ 4 Lacs+,Rs 0,~
207,Abhijit Mukherjee,NALHATI,INC,0,GraduateProfessional,Rs 49337491,~ 4 Crore+,Rs 5790000,~ 57 Lacs+
208,Sukumar De,NANDAKUMAR,AITC,0,Graduate,Rs 1423654,~ 14 Lacs+,Rs 316000,~ 3 Lacs+
209,Phiroja Bibi,NANDIGRAM,AITC,0,EighthPass,Rs 725065,~ 7 Lacs+,Rs 0,~
210,Gadadhar Hazra,NANOOR (SC),AITC,2,TenthPass,Rs 513824,~ 5 Lacs+,Rs 20000,~ 20 Thou+
211,Abu Taher Khan,NAODA,INC,3,TwelfthPass,Rs 4848800,~ 48 Lacs+,Rs 0,~
